Modele,Accuracy
CNN,0.7361151497528351
TF-IDF + NB,0.7285548124454784
LSTM,0.7255015993021227
Word2Vec + LR,0.7132887467287002
TF-IDF + LR,0.7096539691770863
TF-IDF + SVM,0.6945332945623728
LLM zero-shot,0.54
